Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805-NO,1,1uF/50V,
"C2, C3, C4",0805-NO,3,4.7uF,
"FID1, FID2",FIDUCIAL_1MM,2,FIDUCIAL_1MM,
"JP3, JP4",1X03_ROUND,2,,
PLABEL0,PLABEL0,1,,
PLABEL1,PLABEL1,1,,
PLABEL10,PLABEL10,1,,
PLABEL11,PLABEL11,1,,
PLABEL12,PLABEL12,1,,
PLABEL13,PLABEL13,1,,
PLABEL14,PLABEL14,1,,
PLABEL15,PLABEL15,1,,
PLABEL16,PLABEL16,1,,
PLABEL17,PLABEL17,1,,
PLABEL18,PLABEL18,1,,
PLABEL19,PLABEL19,1,,
PLABEL2,PLABEL2,1,,
PLABEL3,PLABEL3,1,,
PLABEL4,PLABEL4,1,,
PLABEL5,PLABEL5,1,,
PLABEL6,PLABEL6,1,,
PLABEL7,PLABEL7,1,,
PLABEL8,PLABEL8,1,,
PLABEL9,PLABEL9,1,,
Q1,POWERDI3333,1,AONR21307,
R1,0603-NO,1,6K,
R2,0603-NO,1,10K,
R3,0603-NO,1,10 ohm,
R4,0603-NO,1,5.1K,
R5,0603-NO,1,49.9K,
"R6, R8",0603-NO,2,14K,
R7,0603-NO,1,18K,
"SJ1, SJ6",SOLDERJUMPER_CLOSEDWIRE,2,,
"SJ2, SJ3, SJ4, SJ5, SJ7",SOLDERJUMPER_ARROW_NOPASTE,5,,
"U$1, U$2",MOUNTINGHOLE_2.5_PLATED,2,MOUNTINGHOLE2.5,
U$14,SYMBOL_MINUS,1,,
U$3,ADAFRUIT_2.5MM,1,,
U$7,SYMBOL_PLUS,1,,
U$8,PCBFEAT-REV-040,1,,
U$9,ADAFRUIT_3.5MM,1,,
X1,USB_C_CUSB31-CFM2AX-01-X,1,USB Type C,
X3,DFN10_3X3MM,1,HUSB238,
X4,TERMBLOCK_1X2-3.5MM,1,3.5mm,
