Designator,Mid X,Mid Y,Rotation,Layer
C1,149.8981,-102.4636,0.0,top
C2,141.7701,-111.3536,180.0,top
C3,141.7701,-107.2896,180.0,top
C4,141.7701,-109.3216,180.0,top
FID1,139.3571,-113.0046,180.0,top
FID2,157.7721,-98.3361,180.0,top
JP3,143.4211,-114.2111,180.0,top
JP4,153.5811,-114.2111,0.0,top
PLABEL0,143.6116,-115.3541,0.0,top
PLABEL1,156.1211,-115.7351,0.0,top
PLABEL10,153.6446,-111.2901,0.0,top
PLABEL11,156.9466,-111.2901,0.0,top
PLABEL12,142.6591,-105.3211,90.0,top
PLABEL13,142.5956,-101.0031,90.0,top
PLABEL14,142.5956,-98.7806,90.0,top
PLABEL15,140.3096,-98.6536,0.0,top
PLABEL16,146.0246,-115.3541,0.0,top
PLABEL17,151.0411,-115.3541,0.0,top
PLABEL18,148.5011,-96.8121,0.0,bottom
PLABEL19,148.5011,-104.6226,0.0,bottom
PLABEL2,153.5811,-115.7351,0.0,top
PLABEL3,140.9446,-115.3541,0.0,top
PLABEL4,148.1836,-100.8761,0.0,top
PLABEL5,154.1526,-100.3681,0.0,top
PLABEL6,154.0891,-102.7811,0.0,top
PLABEL7,153.6446,-105.1306,0.0,top
PLABEL8,153.6446,-107.4166,0.0,top
PLABEL9,153.6446,-109.7661,0.0,top
Q1,145.6041,-106.9086,180.0,top
R1,153.7081,-101.5746,180.0,top
R2,153.5176,-103.9876,180.0,top
R3,149.5171,-104.0511,0.0,top
R4,148.7551,-106.4006,270.0,top
R5,150.3426,-106.4006,270.0,top
R6,153.5811,-106.2736,180.0,top
R7,153.5176,-108.6231,180.0,top
R8,140.2461,-103.0986,0.0,top
SJ1,156.8831,-100.5586,0.0,top
SJ2,156.8831,-102.7811,0.0,top
SJ3,156.8831,-105.0036,0.0,top
SJ4,156.8831,-107.1626,0.0,top
SJ5,156.8831,-109.3216,0.0,top
SJ6,140.3096,-105.0036,0.0,top
SJ7,140.2461,-101.2571,180.0,top
U$1,155.9941,-95.7961,180.0,top
U$14,150.3426,-109.9566,0.0,top
U$2,140.7541,-95.7961,180.0,top
U$3,153.4541,-99.6696,0.0,top
U$7,146.7231,-110.0201,0.0,top
U$8,141.1097,-99.1743,180.0,bottom
U$9,156.6926,-112.8141,0.0,bottom
X1,148.5011,-96.8781,180.0,top
X3,144.9451,-103.2891,90.0,top
X4,148.4511,-112.1791,0.0,bottom
